gvkey,ai_talent_perc,retention_perc,hire_percent,rcid,ai_salary_premium,emp_ai_sentiment,executive_ai_sentiment,conm
1891,.041792616,.97040945,.029278465,736220,.80876791,.54421771,,AUTOMATIC DATA PROCESSING
1913,.033523537,.9779079,.0207626,1022248,.48650703,,,AVERY DENNISON CORP
1919,.040714409,.98301387,.013257528,800618,.3805899,,,AVNET INC
1932,.034017146,.96770108,.02370787,22142075,-.45121396,,,BRITISH AMER TOBACCO PLC
1968,.040335748,.9722209,.033284586,1189518,.32044801,,,BADGER METER INC
1979,.019546933,.96496201,.035065111,112770,.36144572,,,BALCHEM CORP  -CL B
1988,.02543037,.97649866,.020112459,293054,-.29594344,,,BALL CORP
2002,.066026941,.98528624,.027441077,531726,.32406387,,.66666669,POPULAR INC
2005,.033099648,.96876383,.035432607,1275230,.19095659,,,BANK OF HAWAII CORP
2011,.021891668,.97618747,.017811786,154495,-.32182595,,,BANGOR HYDRO-ELECTRIC CO
2019,.10470705,.97379458,0,1504569,.34371489,,,BANK OF NEW YORK MELLON CORP
2049,.044692982,.95866227,.034780703,559132,.17682676,,,BARNES GROUP INC
2055,.018087976,.99225467,.0096783023,601450,.034114797,,.5,BARRICK MINING CORP
2061,.045603089,.97720909,.022790935,807549,.48984814,,,BARRY (R G) CORP
2080,.007294965,.98725712,.013963908,674988,.17684984,,,BASSETT FURNITURE INDS
2085,.025121657,.97931981,.02401951,1405877,.30800101,,,BAUSCH & LOMB HLDGS  -REDH
2086,.03672022,.95243347,.02266131,534729,.27623773,1,,BAXTER INTERNATIONAL INC
2101,.019278469,.98443115,.012844982,22142077,.47899267,,.3676483,APPLIED INDUSTRIAL TECH INC
2111,.052047677,.97537982,.035609201,20921451,.44505653,,,BECTON DICKINSON & CO
2124,.05511811,.97244096,.023622047,932173,-.053011008,,,BEL FUSE INC
2136,.06878034,.9810499,.017380711,20921455,.39321068,.095238097,.46402925,VERIZON COMMUNICATIONS INC
2176,.027895052,.99091935,.0090732723,383823,.014407324,,,BERKSHIRE HATHAWAY
2184,.023619745,.97457564,.012872607,471501,.85667711,.11111111,,BEST BUY CO INC
2220,.054394826,.9678455,.020552969,913473,-.022274615,,,BIO-RAD LABORATORIES INC
2259,.031236146,.97467911,.021837447,20938139,-.10468168,,,BLACK HILLS CORP
2269,.0090175215,.9784714,.013496156,866870,.73635089,.44444445,,BLOCK H & R INC
2270,.024254229,.98084509,.015579938,22267578,.30012774,,,VALARIS LIMITED
2271,.020287419,.97633564,.021133441,632359,.37622413,,,BLOUNT INTL INC
2282,.0054456331,.99065089,.005648694,1179665,.72111177,,,BOB EVANS FARMS
2285,.041513287,.97695774,.010939918,961524,.2406247,1,,BOEING CO
2312,.033173706,.96451724,.026683938,20921708,-.074230053,0,.418769,ROBERT HALF INC
2316,.024624858,.97687662,.030612882,665432,-.18685012,,,HEXION INC
2352,.052285992,.98084533,.039799783,1971,.28940982,,.53174603,BRADY CORP
2369,.010776898,.93024039,.10749266,22142915,.931714,,,BROOKFIELD CORP
2393,.019362252,.98065972,.017541289,532069,.28560507,,,BRIGGS & STRATTON
2403,.04956264,.9577021,.030866876,1122234,.26428527,0,.25675118,BRISTOL-MYERS SQUIBB CO
2408,.14458504,.95885086,.031288572,261282,.21926254,.35416666,.41131175,TELUS CORP
2410,.043079741,.98088026,.017603714,954649,.31337249,1,,BP PLC
2435,.035872519,.93973053,.032765709,1149276,.70875984,,,BROWN FORMAN CORP
2436,.03066556,.97884196,.014977219,435146,.65998781,,.33333334,CALERES INC
2444,.061028957,.97559297,.028776877,752637,.51594216,,.67916667,BRUNSWICK CORP
2448,.016894832,.97137421,.023465853,645055,-.22681648,,.59920633,MATERION CORP
2490,0,1,0,904084,.3949244,,,BURLINGTON NORTHERN SANTA FE
2497,.019620661,.96930718,.034493886,460852,.42071468,,.085270874,MASTEC INC
2504,.075133361,.98690689,.015027404,436314,.11852296,1,.47097927,UNISYS CORP
2526,.031819861,.97358203,.018029599,909363,.05280802,0,,CAE INC
2536,.08671461,.92263746,.058365323,21035979,.062904611,1,,LIVERAMP HOLDINGS INC
2538,.018058311,.99045247,.0056598056,351534,.25130719,,,CDI CORP
2547,.075889185,.96729088,.015125643,1478370,.33511072,-.047619049,.42528737,CIGNA GROUP (THE)
2558,0,1,0,119019,.11852337,,,CNA FINANCIAL CORP
2574,.018117271,.9896763,.0096464399,342638,.32684901,,.353266,CSX CORP
2577,.044378698,.98076928,.020710059,996015,.47204199,,1,CTS CORP
2578,.073439032,.95693564,.03035171,754877,.4826023,,,TELOS CORP/MD
2593,.0175339,.98950362,.011674919,776659,.66309357,,.36666667,CABOT CORP
2596,.058289085,.97689152,.022795878,949998,.18531179,,.33696187,CACI INTL INC  -CL A
2615,.081365831,.97586632,.022578701,1101385,.45632261,1,,CALAMP CORP
2663,.03961619,.96950901,.033143908,604513,.38325065,1,,CAMPBELL'S CO (THE)
2696,.014166989,.98675764,.012005167,1466216,.17221206,,.47615498,CANADIAN NATIONAL RAILWAY CO
2710,.048753552,.95440203,.031871252,847857,.61822039,,,CONSTELLATION BRANDS
2721,.026087034,.99216938,.003475247,325995,.57210594,,,CANON INC
2751,.05721505,.97969413,.022824839,1483487,.30825472,,.65233821,CARDINAL HEALTH INC
2771,.026261348,.97609472,.024001073,926587,.059127666,,.47529906,CARLISLE COS INC
2787,.029533228,.98381579,.017634496,293021,.62893003,,.15151516,CARPENTER TECHNOLOGY CORP
2802,.032520413,.97724104,.021135624,484624,.59012157,,,CASCADE CORP
2807,.0087017324,.98073244,.019264536,606164,.90257537,-.5,,CASEYS GENERAL STORES INC
2812,.019909173,.98478568,.016388047,309325,-.081131361,,,DOLE FOOD CO INC
2817,.073715121,.97702867,.027922088,1047983,.28384805,.45625001,.53220791,CATERPILLAR INC
2818,.0056452388,.98318768,.0031570576,1091540,-.12029907,,,CATO CORP  -CL A
2820,.011396104,.97719967,.031339288,619725,.56883222,,,CAVCO INDUSTRIES INC
2829,0,1,0,683331,-.031390108,,.33333334,R F INDUSTRIES LTD
2859,.039788432,.96687877,.02645411,470071,.52515453,,,CLECO CORP
2884,.060313608,.98203987,.014021765,273054,.16133144,.45454547,.3313024,LUMEN TECHNOLOGIES INC
2940,.041189749,.985093,.010108126,640525,.52209228,,,MAGELLAN HEALTH INC
2953,.047947455,.98462355,.020525452,998539,1.5732598,,,CHECKPOINT SYSTEMS INC
2968,.061846226,.9698866,.030896138,543448,.22654618,.32275131,.4268001,JPMORGAN CHASE & CO
2986,.024539262,.95997596,.046374202,435037,.1021091,,.48888889,CHESAPEAKE UTILITIES CORP
2991,.06061016,.98389006,.010330094,635563,.17501801,1,.39707515,CHEVRON CORP
3007,.013681782,.985093,.019563138,252207,1.6687084,,,BRINKER INTL INC
3026,.038997699,.97030962,.032915808,1238939,.36594629,,.43915477,CHURCH & DWIGHT INC
3028,.028241381,.95763624,.046203285,185145,.3259396,,,CHURCHILL DOWNS INC
3036,.029808206,.98478758,.0079416279,603230,.35006014,,,CINCINNATI BELL INC
3062,.0076181716,.96598405,.040450636,1141065,.69572031,1,,CINTAS CORP
3105,.02132763,.96812832,.019476712,250717,.3274397,,.33976966,IHEARTMEDIA INC
3107,.032234505,.97387123,.010100353,559194,.3573218,-.5,.33333331,CLEVELAND-CLIFFS INC
3121,.057768304,.97672153,.025464687,665888,.16314252,-.5,.60587776,CLOROX CO/DE
3138,.026952369,.9773047,.021897025,1458287,.18038516,,,COCA COLA CONSOLIDATED INC
3144,.049022265,.98434567,.016051814,1058616,-.11650158,,.42475644,COCA-COLA CO
3153,.023781247,.96670908,.04398258,570994,.1102678,,,COEUR MINING INC
3157,.015847892,.98486149,.0018957308,239586,.33289781,,,COHERENT INC
3158,.059845343,.97814465,.013065459,754499,-.093937635,,.4837265,COHU INC
3170,.063839361,.96231675,.037977844,947501,-.0089848172,1,.53516352,COLGATE-PALMOLIVE CO
3221,.029898945,.96754527,.038722709,22227490,.22404692,.5,,AON PLC
3226,.063985974,.97882664,.016985636,786030,.22247897,.090909094,.53186673,COMCAST CORP
3243,.068073802,.97596949,.025469072,267301,.20360874,.65277779,.41295886,CITIGROUP INC
3246,.018271677,.97808325,.023311123,1012421,.47426429,,.28104576,COMMERCIAL METALS
3278,.02274204,.97868586,.019821286,233402,1.1376637,,,AVIS BUDGET GROUP INC
3336,.10443617,.98336709,.010898251,656613,.081197858,.44642857,,DXC TECHNOLOGY CO
3342,.053071633,.98036516,.012554379,949694,.26398975,,,COMPUTER TASK GROUP INC
3358,.069175892,.96007049,.015755177,46101,-.18957472,,.30303031,COMTECH TELECOMMUN
3362,.039247006,.97333121,.026135636,354708,.31267899,-1,,CONAGRA BRANDS INC
3382,.062001623,.96941137,.027893871,1156951,.19481882,1,.45454547,SHUTTERSTOCK INC
3413,.032258343,.99560547,0,701724,-.043920331,,-.66666669,CONSOLIDATED EDISON INC
3439,.045516558,.98364019,.017199805,20921522,.17931761,,.48888889,CMS ENERGY CORP
3469,.04219728,.96213388,.040341366,281779,.28997475,,,CONTINENTAL RESOURCES INC
3497,.023809524,1,0,20967730,.91682827,,,COOPER INDUSTRIES PLC
3504,.036407005,.96919525,.044771202,1030308,.28204864,,.45555556,COOPER COS INC (THE)
3505,.043755651,.96398795,.040326424,441431,.31395844,,.31730771,MOLSON COORS BEVERAGE CO
3532,.044825248,.97126991,.035484336,384868,.21095173,,.4366644,CORNING INC
3556,.0081634009,.99183661,.012228441,13918,.039919667,1,,COURIER CORP
3570,.0032314581,.98724806,.00556973,1420415,.89187509,,.58333337,CRACKER BARREL OLD CTRY STOR
3580,.023684211,.98157895,.015789473,29371987,.32351205,,.17213115,CRANE CO
3581,.017887257,.97445464,.014565809,459037,.43897551,,,CRAWFORD & CO
3592,.041997589,.97988164,.022191979,7969008,.40247476,,.54233581,ONEMAIN HOLDINGS INC
3619,.014651742,.9773289,.022207879,600578,.25125122,,.53846157,CROWN HOLDINGS INC
3639,.037347749,.98260379,.010663227,850411,.11259942,-.44444445,,CUBIC CORP
3650,.053687874,.97665358,.025730373,840759,.35559082,,.44444445,CUMMINS INC
3662,.019271098,.97552657,.034491047,1117433,.37941104,,.53015876,CURTISS-WRIGHT CORP
3708,.005214911,.98811865,.0079686558,245774,-.016426029,,.57404792,WENDY'S CO
3734,.039139979,.96287173,.014008546,834627,.41851056,,.50837791,DANA INC
3735,.057541594,.96781778,.038476557,322312,.18472338,.42857143,.42677003,DANAHER CORP
3801,.010394982,.96885711,.034447551,1141221,.042041469,,,DAVEY TREE EXPERT CO
3813,.016158044,.97487581,.013487274,739347,.67879719,.75,,TARGET CORP
3820,.096399531,.98809522,0,21275534,.29052868,,,VIEWTRAN GROUP INC
3835,.067848787,.97862887,.01752658,1235260,.055367135,.2,.76738507,DEERE & CO
3851,.024689149,.98840058,.013649141,703073,.10460377,,.59839779,DELTA AIR LINES INC
3863,.039241768,.98059624,.015597064,1374517,.60373753,1,.5925926,DELUXE CORP
3897,.036105037,.98367983,.018854134,1241347,.15578121,,.40000001,DTE ENERGY CO
3905,.068990968,.96798646,.028692186,992950,.19347887,,.56259924,COVISTA INC
3937,.037040211,.96304554,.050715938,1420882,.12791981,,,PYXUS INTERNATIONAL INC
3946,.028972397,.9827621,.017386079,780860,1.0593942,,.39502949,DIEBOLD NIXDORF INC
3964,.0050376491,.98018664,.014795991,111681,.18716651,,,DILLARDS INC  -CL A
3980,.042867091,.96864402,.030169055,745033,.47265545,-.16666667,.76033551,DISNEY (WALT) CO
4016,.0062332209,.98031974,.013960742,1353141,.59763587,,.60000002,DOLLAR GENERAL CORP
4029,.02046838,.98155057,.023901097,169544,.12796746,,.77272725,DOMINION ENERGY INC
4036,.026684977,.97799581,.021767709,620046,.14903218,,.54615384,DONALDSON CO INC
4040,.019554386,.98310232,.011201042,340167,.31678519,,,DONNELLEY (R R) & SONS CO
4058,.054743037,.970716,.037556928,538638,.15690488,,.46111113,DOVER CORP
4060,.029972155,.98589736,.014765308,22240085,.23537534,,.62374431,DUPONT DE NEMOURS INC
4066,.082973406,.97505307,.037321158,291535,.26524222,0,.52950007,OMNICOM GROUP INC
4072,.068015635,.99482071,0,871631,1.1185151,,,ASCENA RETAIL GROUP INC
4093,.044463366,.98073876,.021539897,433379,.15372165,,.20676692,DUKE ENERGY CORP
4094,.1086268,.9718678,.027608812,22262638,.2260129,.74166667,,DUN & BRADSTREET HOLDNGS INC
4108,.026166439,.9804194,.01958265,185521,.26442412,,.77777779,FLOWSERVE CORP
4115,.060716335,.97378081,.036324892,555106,-.06168934,,.43721032,DYCOM INDUSTRIES INC
4145,.060919493,.95508385,.048008937,768598,.10512315,1,.46616367,REVVITY INC
4194,.01899793,.9888519,.0061635282,1214055,.64036882,1,,EASTMAN KODAK CO
4199,.031773381,.9741931,.026943903,22150407,.25365904,.5,,EATON CORP PLC
4213,.026979189,.97067392,.025142444,366870,.43671376,1,.39804336,ECOLAB INC
4241,.049283557,.98430991,.02139223,1137900,.091416687,,,EL PASO ELECTRIC CO
4273,.023425501,.97227341,.014132105,782558,.35744491,,,ELECTRO RENT CORP
4274,.020033892,.98998308,0,1041804,.91403341,,,ELECTRO SCIENTIFIC INDS INC
4367,.026531611,.97741753,.010831933,1215464,.39886606,,,WEATHERFORD INTL PLC
4383,.019522101,.98097908,.028111044,327070,.42849892,,,ATMOS ENERGY CORP
4384,.040441178,.94263542,.16503268,378605,.13804984,,.28982252,MARA HOLDINGS INC
4423,.15663725,.97860718,.021777503,1244001,.18998459,1,.53928173,EQUIFAX INC
4430,.040088307,.9698261,.03256103,391052,-.036057435,,.54583335,EQT CORP
4439,.10349882,.9792434,.015662331,433138,.14500344,.5,,TELEFONAKTIEBOLAGET LM ERICS
4477,.092103705,.94732296,.052786525,381497,.3492144,0,,CONVERA CORP
4494,.037694197,.97451329,.031008672,55523,.45387515,1,,EXPEDITORS INTL WASH INC
4503,.035014369,.97308779,.036825351,912348,.20504789,.33333334,.46286479,EXXON MOBIL CORP
4510,.035994224,.97665179,.020206148,300360,.20231438,,,FMC CORP
4517,.076486818,.95719314,.065000735,270967,.030730816,,.30821705,NEXTERA ENERGY INC
4560,.0051015904,.98746026,.0081283301,256477,.32258454,,,FAMILY DOLLAR STORES
4579,.011472443,.97608078,.014329586,385194,.57288599,,,FARMER BROS CO
4598,.017783973,.98464215,.012601262,806872,.1147178,.3888889,,FEDEX CORP
4600,.012475512,.99573958,.00032722513,240599,.40257391,,,FEDERAL-MOGUL HOLDINGS CORP
4601,.1547336,.98324597,.012348257,440112,.043868557,,,FEDERAL NATIONAL MORTGA ASSN
4608,.021341462,.97967482,.023373984,1160720,.30968484,,.14444445,FEDERAL SIGNAL CORP
4611,.022051074,.98134398,.011819068,642928,.87120038,,.55765665,MACY'S INC
4640,.037841436,.97258693,.028830862,22142245,.39407656,,.42454851,FIFTH THIRD BANCORP
4645,.011795886,.9768728,.01884304,7522832,.024513239,,,SCHAWK INC  -CL A
4674,0,1,.016129032,1495498,.33396363,1,.49316239,REGIONS FINANCIAL CORP
4685,0,1,0,22142741,.022625919,,,TRUSTMARK CORP
4690,.034005232,.96803272,.042399809,22142254,.20213966,,.62786067,FIRST CITIZENS BANCSH  -CL A
4699,.044622295,.97288525,.031790346,211280,.24440129,,.63566017,M&T BANK CORP
4723,.026747391,.98817849,.0088937171,449435,.4591037,,.46303189,US BANCORP
4737,.021087185,.9728744,.033269186,1258790,.15245324,,.61236262,FIRST HORIZON CORP
4798,.042255208,.97611737,.025697213,3588629,.21317545,,,FLORIDA POWER & LIGHT CO
4809,.017512564,.98485136,.015678182,402101,1.6265823,,,FLOWERS FOODS INC
4818,.017556043,.98201752,.025391167,784648,.12599447,,.53246754,FLUOR CORP
4839,.076036632,.97937596,.02451089,860320,.24608767,.39583334,.52149695,FORD MOTOR CO
4860,.048730072,.97193098,.035991218,347876,.49402848,,,FOSTER (LB) CO
4881,.034071945,.97190511,.024705064,22142290,.28275076,1,,FRANKLIN ELECTRIC CO INC
4885,.052954059,.9656992,.031929389,911388,.30947918,1,.51141077,FRANKLIN RESOURCES INC
4925,.023148702,.98611164,.011312651,1474081,.13461572,,,FUJIFILM HLDGS CORP
4926,.022690643,.97029513,.029025793,1096535,.17989986,,.13333334,FULLER (H. B.) CO
4941,.018173235,.96399522,.030476894,587643,-.22597001,,,GATX CORP
4973,.02091812,.97374821,.030800994,243687,.24269353,.60000002,.52974528,ARTHUR J GALLAGHER & CO
4988,.04047706,.96188313,.038574312,393318,.39183825,0,.49470901,TEGNA INC
4990,.037362676,.98156881,.015802206,47061,.68203586,1,.82898551,GAP INC
5046,.020544879,.98973268,.0077462778,828625,.18269995,,.46239316,GENERAL DYNAMICS CORP
5047,.034890704,.99246752,.0014976846,1489790,.34250289,,.45311356,GE AEROSPACE
5050,.027046785,.93274856,.053362571,195830,.096514687,,.28018633,GEE GROUP INC
5071,.041051239,.97069889,.026414469,562042,.63024187,-.16,,GENERAL MILLS INC
5072,.081689157,.96305799,.023648359,515300,.25635853,.33333334,.40955883,ALLY FINANCIAL INC
5073,.069443688,.9769367,.019816965,1398143,.30134624,.41666666,.33853829,GENERAL MOTORS CO
5087,.039030571,.97315872,.040253066,869969,.20273915,,,SPX TECHNOLOGIES INC
5109,.01102777,.97694719,.014496664,32370,.30800575,,.33333334,GENESCO INC
5116,.03320729,.97772181,.014157576,243643,.38781968,,.39130434,GENTEX CORP
5125,.040781796,.96878719,.032959659,279267,.35718346,1,.50335246,GENUINE PARTS CO
5135,.024227902,.97269124,.039226837,40492,-.12074458,,,GEORGIA POWER
5180,.051153358,.97822833,.029019242,441760,.29671532,.3888889,,GSK PLC
5234,.026422547,.96969754,.020109519,762166,.55619425,1,-.14285715,GOODYEAR TIRE & RUBBER CO
5250,.023244936,.97236252,.020759607,1042082,.019513849,,,GRACE (W R) & CO
5252,.044864863,.95044887,.057040196,697590,.012982963,,.63333333,GRACO INC
5256,.031949952,.97376978,.026501799,1496843,.70955777,,.37147215,GRAINGER (W W) INC
5284,.017723851,.97203457,.02436232,39127,.056037072,,.83333331,GRAY MEDIA INC
5288,.016917307,.97668386,.022594934,903532,1.239078,,,GRAYBAR ELECTRIC CO INC
5338,.024701212,.9718594,.023021737,299414,.7004993,,.45299146,GREIF INC  -CL A
5342,.10226956,.95101553,.017755538,801853,-.14831042,.66666669,,MONEYGRAM INTERNATIONAL INC
5439,.029116075,.98163629,.014878162,791709,.50573534,,.58805531,HALLIBURTON CO
5492,.039101727,.9598242,.039484337,1418721,.1949649,,.52456486,L3HARRIS TECHNOLOGIES INC
5518,.045176517,.96385038,.028832113,675968,.49076802,.06666667,.23484847,HASBRO INC
5520,.016151641,.96537113,.043633856,165547,-.40811649,1,,ALLIENT INC
5523,.0080516599,.98550379,.012853484,109319,-.0062220055,,1,HAVERTY FURNITURE
5525,.028436027,.98841441,.014218291,758979,-.026238358,,,HAWAIIAN ELECTRIC CO
5530,.0053835898,.98654103,.020193897,96204,.73975384,,,HAWKINS INC
5539,.0039755329,.98377234,.012913566,267096,.74640697,,,HEALTHCARE SERVICES GROUP
5543,.019389898,.94301879,.098938145,72505,.045360714,,.44611368,WELLTOWER INC
5559,.022166904,.97771454,.057847321,1218004,.7491312,,.40000001,STERLING INFRASTRUCTURE INC
5560,.015221582,.96198082,.033441141,1035497,-.22888662,,.61210316,HECLA MINING CO
5567,.01261458,.97195607,.034893237,510589,.37237728,,.36666667,HEICO CORP
5568,.038430192,.95370722,.043291163,1116588,.34037903,-1,.41336679,KRAFT HEINZ CO
5572,.037890889,.96414131,.025679465,1096267,.26327866,,,HELEN OF TROY LTD
5597,.042405315,.95543247,.040848423,1006115,.39868456,1,.33647811,HERSHEY CO
5606,.10239704,.97173184,.02102356,807572,.16712819,.22666667,.40310115,HP INC
5608,.024340544,.96806395,.030616362,1001770,.29443011,,.083333336,HEXCEL CORP
5639,.022595968,.99131161,.00058173359,102663,.44925258,,,HILL-ROM HOLDINGS INC
5643,.02576053,.97858709,.018831851,196290,.56256872,1,.58172947,HILTON WORLDWIDE HOLDINGS
5650,.11997452,.97575068,.017864473,760377,.22042,.66666669,,HITACHI LTD
5667,.036066554,.96734715,.044044122,22268391,.17664923,,,HF SINCLAIR CORP
5680,.020233121,.98019814,.014869576,494205,.5749771,.375,.62776226,HOME DEPOT INC
5690,.042585362,.96083927,.043014526,995850,.45719936,,0,HNI CORP
5691,.029556962,.96920884,.04721519,596634,.73221743,,,HONDA MOTOR CO LTD
5709,.025815848,.9672842,.035222888,244971,.47355667,,.5962733,HORMEL FOODS CORP
5723,.040064104,.94070512,.057692308,532873,-.31679395,,,STARWOOD HOTELS&RESORTS WRLD
5742,.042400144,.97170103,.031803492,445083,.24923612,,.76190478,CENTERPOINT ENERGY INC
5764,.04439567,.96560097,.034827191,80159,.16917363,,.0017760895,HUBBELL INC
5783,.026432443,.96450812,.030227719,1042797,.25252038,-.33333334,.23778735,HUNT (JB) TRANSPRT SVCS INC
5786,.0038937083,.96954095,.029183861,1344354,.16915689,,.24545455,HUNTINGTON BANCSHARES
5808,0,.99056602,0,1225132,-.010174937,,,HYDRO QUEBEC
5831,.014388572,.99760765,0,589178,-.27597654,,,IEC ELECTRONICS CORP
5860,.02081855,.98528862,.015781013,21021880,.2930533,,.30578482,ITT INC
5878,.025056392,.96582937,.028690506,512590,-.026306624,,.5,ILLINOIS TOOL WORKS
5914,.014709063,.98188406,.02195544,911788,-.17190965,,,INDIANA MICHIGAN POWER CO
5959,.041457795,.96886307,.040215246,793427,.29239076,,,TRANE TECHNOLOGIES PLC
5978,.040417209,.98078734,.048964217,271428,.59983456,,,AEGION CORP
6003,.047091775,.9930709,0,1114350,.6895864,,,INTEGRATED DEVICE TECH INC
6008,.11947817,.97906339,.012060091,1311350,.0015315751,.4649123,.37421507,INTEL CORP
6034,.024494508,.98369926,.016909175,1150071,.81857789,,.65422082,INTERFACE INC
6066,.16804248,.97637898,.022324923,22142390,.095763192,.3967033,.41479042,INTL BUSINESS MACHINES CORP
6078,.036826596,.95697796,.037928022,350828,.25549746,,.58441561,INTL FLAVORS & FRAGRANCES
6100,.081777766,.98297578,.02384435,697646,.015902918,,.57496285,INTERDIGITAL INC
6104,.020571504,.97156042,.018560763,1000539,.16315548,,.30555555,INTL PAPER CO
6135,.044773359,.97712088,.027419146,439395,.10847813,,-.13131313,ENBRIDGE INC
6136,.069971442,.97151846,.030974349,1348064,.64833653,,,INTERPUBLIC GROUP OF COS
6158,.018140964,.98639429,.0022779044,1100440,.1722323,,,INVACARE CORP
6216,.090909094,.9545455,0,21051694,-.014309014,,.53916562,JACOBS SOLUTIONS INC
6223,.038432252,.98333538,.02609022,1165512,.23111145,,.3519994,EMCOR GROUP INC
6266,.07219705,.97040248,.034000374,1033568,.33477974,.73333335,.58981586,JOHNSON & JOHNSON
6268,.04030757,.97461742,.022694109,22242854,.38281053,.32312927,,JOHNSON CONTROLS INTL PLC
6304,.082037136,.97828364,.032411594,288161,.13499878,.4666667,.042203974,KLA CORP
6307,.015174889,.99702299,.00074381311,51377,1.417529,.16666667,,SEARS HOLDINGS CORP
6310,.033203959,.98155564,.022421803,865831,.28590989,1,.33677873,KINDER MORGAN INC
6326,.026192773,.9229247,.050730832,133681,.048777927,,,KAMAN CORP
6335,.024081007,.99020362,0,785033,.11257785,,,KANSAS CITY SOUTHERN
6338,.055061623,.97772151,.024975758,676468,.23915024,,.71428573,EVERGY INC
6346,.033341751,.95982701,.016670875,1344676,.26020429,,,CKE RESTAURANTS INC
6375,.034928322,.98382866,.010699308,1167052,.52082342,,,KELLANOVA
6379,.015717326,.9840343,.0097520575,1268157,.28578156,0,.57307744,KELLY SERVICES INC  -CL A
6386,.023767292,.98039675,.010213268,980464,.23224492,,.80000001,KENNAMETAL INC
