Occupation,AI Talent% Relative to Total Headcount,AI-Required Position Retention Rate,AI-Required Position Hire Rate,Average Salary for Positions Without AI Requirements,Average Salary for Positions With AI Requirements,AI_Salary_Premium ,Number of Job Posts Without AI Requirement,Number of Job Posts With AI Requirement
business system analyst,7.15%,96.53%,1.39%," 107,091 "," 114,146 ",6.59%, 626 , 38 
business systems,7.24%,97.45%,1.45%," 137,207 "," 171,442 ",24.95%," 1,478 ", 121 
business systems analyst,10.05%,95.78%,1.06%," 103,277 "," 115,561 ",11.89%," 5,249 ", 352 
business systems consultant,5.88%,97.71%,0.53%," 115,420 "," 133,969 ",16.07%," 2,337 ", 188 
business transformation,14.72%,95.11%,1.46%," 149,211 "," 168,289 ",12.79%," 7,522 "," 1,374 "
buyer,1.41%,94.61%,0.93%," 75,260 "," 89,950 ",19.52%," 3,054 ", 44 
buyer planner,2.18%,94.39%,1.87%," 79,873 "," 87,576 ",9.64%," 3,084 ", 49 
buying,2.13%,91.02%,4.25%," 81,710 "," 87,094 ",6.59%," 1,234 ", 13 
cabin crew,1.26%,92.86%,7.14%," 54,700 "," 104,725 ",91.45%, 803 , 8 
cad designer,1.33%,96.46%,1.01%," 70,540 "," 73,753 ",4.55%," 1,332 ", 28 
cad engineer,4.04%,97.81%,3.81%," 111,384 "," 124,640 ",11.90%, 319 , 19 
cajero,0.00%,,," 53,248 "," 63,044 ",18.40%," 4,086 ", 71 
cake decorator,0.43%,96.30%,7.48%," 42,905 "," 40,395 ",-5.85%," 4,591 ", 100 
call center,1.30%,96.43%,3.57%," 49,854 "," 42,634 ",-14.48%, 576 , 11 
call center agent,0.82%,90.00%,0.00%," 43,238 "," 40,370 ",-6.63%, 575 , 13 
call center representative,1.40%,92.91%,4.04%," 40,052 "," 45,117 ",12.65%," 1,746 ", 42 
campaign,5.41%,89.93%,6.58%," 58,396 "," 82,827 ",41.84%," 2,764 ", 85 
campus ambassador,7.08%,88.90%,10.83%," 50,352 "," 62,781 ",24.69%," 3,552 ", 187 
capital markets,2.65%,94.51%,1.89%," 133,709 "," 145,003 ",8.45%," 4,045 ", 382 
captain,0.65%,94.72%,4.72%," 72,068 "," 90,448 ",25.50%," 1,015 ", 25 
care,0.61%,97.50%,2.50%," 64,435 "," 52,356 ",-18.75%," 1,130 ", 6 
carpenter,1.56%,96.28%,2.77%," 49,865 "," 46,490 ",-6.77%," 2,091 ", 37 
case,0.94%,93.45%,2.97%," 64,586 "," 62,705 ",-2.91%," 1,408 ", 31 
cash,1.94%,92.59%,0.00%," 46,857 "," 72,500 ",54.72%, 230 , 1 
cashier,0.59%,93.96%,3.63%," 33,286 "," 35,683 ",7.20%," 1,018 ", 31 
cashier customer service,0.30%,94.80%,1.29%," 30,512 "," 32,002 ",4.88%, 909 , 9 
cashier sales,0.34%,93.89%,5.15%," 31,250 "," 34,060 ",8.99%, 551 , 4 
cast,0.70%,86.48%,6.50%," 36,581 "," 39,622 ",8.31%," 1,833 ", 36 
catering,0.53%,94.44%,0.00%," 40,269 "," 44,132 ",9.60%, 536 , 32 
central,1.84%,92.47%,2.94%," 125,099 "," 179,737 ",43.68%," 1,363 ", 38 
cfo,1.99%,93.29%,1.76%," 186,679 "," 208,520 ",11.70%, 155 , 27 
change,2.91%,96.77%,1.61%," 127,310 "," 129,215 ",1.50%, 833 , 80 
change analyst,0.89%,100.00%,0.00%," 101,844 "," 109,645 ",7.66%, 724 , 36 
change consultant,7.30%,93.25%,1.60%," 122,319 "," 135,877 ",11.08%," 2,535 ", 236 
checkout,0.52%,94.44%,5.56%," 37,302 "," 39,817 ",6.74%," 1,901 ", 19 
chef,0.59%,93.75%,2.08%," 52,077 "," 45,662 ",-12.32%, 764 , 24 
chemical,1.08%,94.33%,1.39%," 54,920 "," 39,157 ",-28.70%," 1,929 ", 12 
chemical engineer,2.90%,95.06%,2.23%," 95,598 "," 102,131 ",6.83%, 688 , 8 
chemist,1.08%,97.51%,0.00%," 81,842 "," 81,553 ",-0.35%, 254 , 11 
civil engineer,1.45%,93.85%,4.18%," 100,852 "," 97,295 ",-3.53%," 1,607 ", 31 
claim,0.90%,93.75%,0.00%," 108,274 "," 96,877 ",-10.53%, 324 , 5 
claims,0.69%,97.67%,1.15%," 87,060 "," 89,987 ",3.36%, 654 , 13 
claims adjuster,0.37%,93.81%,1.20%," 68,936 "," 72,295 ",4.87%, 914 , 18 
claims analyst,2.22%,95.03%,1.82%," 70,771 "," 56,708 ",-19.87%," 1,112 ", 30 
claims examiner,0.86%,94.16%,1.46%," 65,499 "," 86,643 ",32.28%," 3,836 ", 87 
claims representative,0.82%,96.36%,2.92%," 66,906 "," 81,816 ",22.29%," 5,770 ", 114 
cleaner,0.37%,95.69%,2.11%," 33,345 "," 30,564 ",-8.34%," 1,439 ", 25 
clerical,0.81%,96.50%,3.49%," 38,276 "," 39,126 ",2.22%," 1,235 ", 35 
client,2.46%,97.84%,0.53%," 102,459 "," 132,634 ",29.45%, 817 , 47 
client account,3.30%,98.48%,0.00%," 96,548 "," 112,744 ",16.77%, 904 , 33 
client relations,2.04%,92.35%,5.96%," 79,552 "," 86,930 ",9.28%, 265 , 19 
client relationship,1.98%,94.35%,0.93%," 85,858 "," 110,885 ",29.15%, 930 , 66 
client service,0.46%,92.45%,1.92%," 65,302 "," 82,887 ",26.93%, 707 , 25 
client service representative,0.72%,95.31%,0.51%," 44,731 "," 57,409 ",28.34%," 2,766 ", 46 
client services,1.28%,96.60%,3.42%," 83,908 "," 99,731 ",18.86%," 1,645 ", 74 
client solutions,14.73%,96.64%,0.27%," 117,470 "," 133,919 ",14.00%," 2,719 ", 297 
client support,3.51%,95.09%,2.16%," 61,879 "," 71,235 ",15.12%," 1,045 ", 43 
clinical,1.65%,95.45%,2.65%," 91,393 "," 108,387 ",18.59%," 3,455 ", 97 
clinical data,6.24%,95.03%,1.40%," 109,490 "," 150,290 ",37.26%," 1,209 ", 64 
clinical operations,2.78%,94.50%,1.70%," 132,453 "," 159,212 ",20.20%," 8,046 ", 518 
clinical pharmacist,1.51%,95.30%,4.27%," 85,642 "," 85,072 ",-0.67%," 1,480 ", 25 
clinical project,2.35%,94.89%,3.03%," 128,426 "," 141,095 ",9.86%," 2,347 ", 102 
clinical research,1.51%,93.71%,1.72%," 115,091 "," 128,714 ",11.84%," 2,105 ", 97 
clinical trial,1.92%,97.47%,0.00%," 79,920 "," 82,613 ",3.37%," 1,729 ", 25 
cluster,0.62%,100.00%,0.00%," 64,401 "," 90,615 ",40.70%, 946 , 15 
cna,0.26%,94.01%,2.94%," 44,293 "," 44,064 ",-0.52%," 2,641 ", 26 
cnc machinist,1.86%,98.68%,0.66%," 54,521 "," 57,608 ",5.66%," 5,388 ", 71 
coach,1.43%,95.21%,5.76%," 63,506 "," 76,328 ",20.19%," 1,016 ", 13 
collection,1.03%,100.00%,0.00%," 66,698 "," 37,101 ",-44.37%, 143 , 1 
collections,0.79%,97.83%,2.17%," 49,084 "," 45,500 ",-7.30%, 708 , 19 
collector,1.09%,93.18%,3.23%," 44,205 "," 46,196 ",4.50%, 969 , 19 
comercial,0.71%,100.00%,0.00%," 83,294 "," 122,936 ",47.59%, 562 , 7 
commercial,2.52%,97.29%,3.45%," 103,494 "," 107,317 ",3.69%, 375 , 13 
commercial account,3.47%,96.76%,2.13%," 86,425 "," 119,145 ",37.86%, 268 , 21 
commercial analyst,7.75%,97.15%,2.41%," 92,966 "," 103,409 ",11.23%, 611 , 10 
commercial banking,0.71%,95.12%,2.38%," 101,823 "," 116,420 ",14.34%, 584 , 31 
commercial finance,9.91%,95.32%,1.63%," 130,836 "," 147,459 ",12.71%," 1,754 ", 81 
commercial officer,2.96%,93.44%,4.95%," 144,498 "," 111,763 ",-22.65%, 260 , 5 
commercial operations,3.65%,90.45%,0.00%," 128,893 "," 146,323 ",13.52%, 138 , 4 
commercial sales,2.13%,93.53%,3.29%," 79,261 "," 101,938 ",28.61%, 377 , 3 
commercial underwriter,0.78%,95.83%,4.17%," 99,222 "," 166,306 ",67.61%," 1,015 ", 17 
commissioning,1.96%,100.00%,12.50%," 117,061 "," 139,761 ",19.39%," 1,687 ", 63 
commissioning engineer,5.85%,95.42%,1.54%," 105,695 "," 112,776 ",6.70%," 1,812 ", 53 
commodity,2.93%,95.02%,1.79%," 114,646 "," 134,675 ",17.47%," 2,953 ", 76 
commodity buyer,1.50%,90.91%,0.00%," 86,467 "," 99,076 ",14.58%, 747 , 7 
communication,4.00%,93.71%,4.77%," 77,896 "," 97,889 ",25.67%, 261 , 20 
communications,3.27%,90.72%,4.43%," 107,823 "," 136,282 ",26.39%," 1,249 ", 85 
communications consultant,6.40%,92.93%,3.26%," 120,230 "," 131,446 ",9.33%," 4,897 ", 402 
communications coordinator,2.98%,90.72%,1.98%," 68,045 "," 92,490 ",35.92%," 2,192 ", 76 
community,2.42%,89.38%,4.98%," 61,345 "," 73,312 ",19.51%, 892 , 26 
community relations,1.80%,93.76%,5.06%," 73,809 "," 86,419 ",17.08%," 3,372 ", 68 
compensation,5.15%,94.44%,2.45%," 122,592 "," 150,680 ",22.91%," 6,449 ", 483 
compensation analyst,7.22%,95.72%,2.27%," 87,709 "," 98,659 ",12.48%," 2,252 ", 110 
compensation benefits,3.95%,95.68%,0.00%," 120,280 "," 147,463 ",22.60%," 2,449 ", 176 
compliance,1.64%,95.91%,2.05%," 115,913 "," 134,980 ",16.45%," 1,183 ", 60 
compliance analyst,3.32%,94.84%,1.52%," 86,413 "," 97,700 ",13.06%," 5,223 ", 549 
compliance officer,1.18%,94.46%,1.47%," 113,127 "," 129,042 ",14.07%," 1,486 ", 154 
computer,3.12%,94.57%,3.91%," 55,013 "," 49,982 ",-9.15%, 108 , 11 
computer engineer,9.60%,96.23%,2.98%," 104,181 "," 99,611 ",-4.39%, 105 , 8 
computer programmer,5.38%,95.23%,2.32%," 79,242 "," 98,246 ",23.98%, 56 , 4 
computer scientist,11.04%,94.61%,5.11%," 115,389 "," 115,687 ",0.26%, 157 , 15 
computer technician,6.24%,94.70%,4.33%," 54,360 "," 48,138 ",-11.45%, 176 , 6 
configuration,5.29%,95.35%,1.43%," 115,744 "," 121,563 ",5.03%, 710 , 45 
configuration analyst,5.06%,96.64%,2.03%," 97,628 "," 109,316 ",11.97%," 3,057 ", 219 
conseiller commercial,0.00%,,," 71,696 "," 75,868 ",5.82%," 3,484 ", 77 
construction,0.57%,93.03%,0.96%," 108,866 "," 101,764 ",-6.52%," 1,468 ", 25 
construction engineer,0.94%,96.43%,1.79%," 97,600 "," 106,753 ",9.38%, 687 , 19 
construction project,0.98%,94.62%,3.63%," 100,798 "," 107,856 ",7.00%," 3,390 ", 52 
consultant project,9.51%,96.68%,0.63%," 134,157 "," 142,141 ",5.95%," 2,755 ", 157 
consulting,5.38%,96.24%,1.63%," 143,685 "," 145,619 ",1.35%," 1,038 ", 128 
consulting analyst,7.93%,91.66%,2.78%," 67,311 "," 72,568 ",7.81%," 1,905 ", 139 
consulting engineer,6.77%,97.22%,2.46%," 156,562 "," 187,349 ",19.66%," 1,751 ", 253 
consulting services,9.92%,95.58%,2.33%," 171,598 "," 196,635 ",14.59%," 4,223 ", 492 
consumer marketing,8.66%,91.82%,2.05%," 126,305 "," 146,918 ",16.32%," 6,940 ", 665 
contact center,2.34%,93.84%,1.49%," 64,072 "," 80,814 ",26.13%," 1,247 ", 35 
content,11.52%,92.90%,2.83%," 84,257 "," 91,662 ",8.79%," 1,498 ", 245 
content analyst,14.32%,93.62%,3.85%," 86,817 "," 82,821 ",-4.60%, 803 , 102 
content creator,8.48%,92.68%,5.97%," 67,081 "," 87,148 ",29.91%," 1,536 ", 153 
continuous,3.30%,95.13%,7.08%," 85,562 "," 95,728 ",11.88%," 1,201 ", 15 
contractor,1.04%,98.86%,1.14%," 89,901 "," 115,502 ",28.48%, 100 , 5 
contracts,1.38%,98.01%,0.66%," 121,715 "," 144,983 ",19.12%," 2,333 ", 106 
contracts administrator,1.20%,93.75%,0.64%," 79,361 "," 79,909 ",0.69%," 2,813 ", 77 
contributor,12.70%,93.12%,8.87%," 113,351 "," 156,645 ",38.19%, 87 , 20 
control,1.81%,95.92%,0.00%," 64,362 "," 116,540 ",81.07%, 745 , 12 
control analyst,7.49%,95.82%,1.43%," 79,151 "," 87,238 ",10.22%," 1,569 ", 62 
control room,2.68%,94.57%,0.00%," 58,829 "," 78,035 ",32.65%," 1,121 ", 5 
